1,Believers,BMS College of Engineering  Bengaluru  Karnataka
2,Team_DmD,Thadomal Shahani Engineering College Mumbai  Maharashtra
3,Incredibles,Vignan s Institute of Information Technology Visakhapatnam  Andhra Pradesh
4,LifeTimeError,University Institute of Engineering and Technology  Panjab University
5,DarkSkyUnit(DSU),Birla Institute of Technology  Mesra
6,Tech_Tantriks,MANAV RACHNA UNIVERSITY Haryana
7,The Titans,Visvesvaraya National Institute of Technology  Nagpur
8,Void,Indian Institute of Information Technology Guwahati
9,Woh Rohit hai woh kuch bhi kar sakta hai,Indian Institute of Technology - Mandi
10,Complete Beginners,Indian Institute of Information Technology  Dharwad
11,Coder XD,Oriental Institute of Science and Technology - Bhopal
12,Logic Pioneers,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY BHAGALPUR
13,Codebars,University Institute of Engineering and Technology  Kurukshetra University
14,AAAcoders,Indian Institute of Information Technology  Tiruchirappalli
15,Brute Force,National Institute of Technology Meghalaya
16,BruteForcers,KLE Technological University Hubli  Karnataka
17,FATE,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY RANCHI
18,Run Time Terror,Indian Institute of Information Technology Nagpur
19,Hung Up On A Binary Tree,Madhav Institute of Technology and Science  Gwalior
20,BinaryBrains,K L University Hyderabad
21,icpc_chalo,Marathwada Mitra Mandal s College of Engineering  Karvenagar  Pune
22,Team PC,Ajay Kumar Garg Engineering College  Ghaziabad
23,Geniee,National Institute of Technology Goa
24,@MainActor,Bangalore Institute of Technology Karnataka
25,CP_ACE,Atharva College of Engineering Mumbai Maharashtra
26,Shoonya,University Institute of Engineering & Technology  CSJMU  Kanpur
27,EpsilonNot,Sant Longowal Institute of Engineering and Technology Longowal  Punjab
28,code??,PSG College of Technology Coimbatore  Tamil Nadu
29,codeeagles,Rashtreeya Vidyalaya College of Engineering  Bengaluru  Karnataka
30,Tech Tycoon,Nutan Maharashtra Institute of Engineering and Technology  Pune
31,ada,Ganeshi Lal Bajaj Institute Of Technology And Management Uttar Pradesh
32,MagicBricks,Indian Institute of Technology - Gandhinagar
33,Telegram_CtrlC_CtrlV,Dayananda Sagar College of Engineering Bengaluru  Karnataka
34,3 unknowns,GLA University  Mathura
35,BigHorse,Shri Ramdeobaba College of Engineering and Management  Nagpur
36,Wrong Angled Triangle,VNR Vignana Jyothi Institute of Engineering & Technology Secunderabad  Telangana
37,Ctrl Freak,Narula Institute of Technology Kolkata  West Bengal
38,Team ElderWand MITS,Madhav Institute of Technology & Science  Gwalior
39,CodeStart,Deogiri Institute of Engineering and Management Studies  Aurangabad  Maharashtra
40,OnlyOnes,Mahindra University Ecole Centrale  Hyderabad  Telangana
41,1e9 + 7,SRM Institute Of Science and Technology Chennai  Tamil Nadu
42,Bhupinder_Jogi,Rajiv Gandhi Institute Of Petroleum Technology Uttar Pradesh
43,MST,Indian Institute of Information Technology Kota
