1,DunderMifflin,Indian Institute of Technology - Kharagpur
2,3equals1000,"Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar"
3,SkillIssue,Indian Institute of Technology - Delhi
4,Leaf Papad,Indian Institute of Technology - Bombay
5,Failures,Indian Institute of Technology - Guwahati
6,Malana Team,Indian Institute of Technology - Patna
7,lazy three,International Institute of Information Technology - Hyderabad
8,PerfecTerror,Indian Institute of Technology - Varanasi
9,codeCruXaders,"BITS-Pilani, Hyderabad Campus"
10,GFS,Indian Institute of Technology - Indore
11,BogBois,"BITS-Pilani, Goa Campus"
12,we_have_ak,NATIONAL INSTITUTE OF TECHNOLOGY TIRUCHIRAPPALLI
13,SalmonBhoiFanClub,Manipal Institute of Technology
14,DEV > CP,"K. J. Somaiya College of Engineering, Vidyavihar, Mumbai"
15,Anti-Adhoc,International Institute of Information Technology - Bangalore
16,SPYKIDS,"National Institute of Technology, Silchar"
17,postesters,"Vellore Institute of Technology, Chennai"
18,No_Intution,Indian Institute of Information Technology Allahabad 
19,OnTheSpot,Indian Institute of Technology - Varanasi
20,is it rated?,Indian Institute of Technology - Delhi
21,Yorozuya Forever,Indian Institute of Technology - Madras
22,Debugging Susanoo,Indian Institute of Technology - Guwahati
23,Runtime Terrors,Indian Institute of Technology - Bombay
24,Chennai Sharks ,Sri Sivasubramaniya Nadar College of Engineering
25,MEX Offenders,Indian Institute of Technology - Patna
26,regretISMa,"Indian Institute of Technology (ISM), Dhanbad"
27,error404found,"National Institute of Technology Karnataka, Surathkul"
28,bitmASKers,Indian Institute of Technology - Roorkee
29,FacelessMen3.1,Indian Institute of Technology - Kanpur
30,Three Musketeers,IIT Bhubaneswar
31,Buriburizaemon,Indian Institute of Technology - Roorkee
32,lite lo,"Birla Institute of Technology and Science, Pilani Campus"
33,XORcists,Indian Institute of Technology - Varanasi
34,cns_lena_chahiye_tha,Indian Institute of Technology - Guwahati
35,cant_trie_hard,"BITS-Pilani, Hyderabad Campus"
36,Cats on Trees,IIIT-Delhi
37,Angry Nerds,International Institute of Information Technology - Naya Raipur
38,AIUB_Exodus,American International University - Bangladesh
39,BRACU_Crows,BRAC University
40,BRACU_StrawHatPirates,BRAC University
41,BUBT_RavenClaw,Bangladesh University of Business and Technology
42,BUET_Nightfall,Bangladesh University of Engineering and Technology
43,Buet_Ragnarok,Bangladesh University of Engineering and Technology
44,Code_Monkeys,Khulna University of Engineering &amp;amp;amp;amp;amp; Technology
45,CoU_DareToDreamAgain,Comilla University
46,CoU_Unpredictable_3207,Comilla University
47,CUET_BlackHawkDown,Chittagong University of Engineering & Technology
48,DU__Ascending___,University of Dhaka
49,HSTU_PantaBhaat,Hajee Mohammad Danesh Science and Technology University
50,IU_Waving_Flag,"Islamic University, Bangladesh"
51,IUBAT_Potato_Mind,International University of Business Agriculture and Technology
52,IUT_Shondhatara,Islamic University of Technology
53,IUT_Shongshoptok,Islamic University of Technology
54,JU_IncendIO,Jahangirnagar University
55,JU_the0dd1out,Jahangirnagar University
56,KUET_Effervescent,Khulna University of Engineering &amp;amp;amp;amp;amp; Technology
57,MIST_FrostByte_1.2,Military Institute of Science and Technology
58,MIU_Mavericks,Manarat International University
59,NSU_DDC,North South University
60,NSU_NPCs,North South University
61,RRR,Rajshahi University of Engineering & Technology
62,RU_NowOrNever,University of Rajshahi
63,RU_SFS,University of Rajshahi
64,RUET_ThreePointers,Rajshahi University of Engineering & Technology
65,SEC_Petrichor,Sylhet Engineering College
66,SUST_GuessForces,Shahjalal University of Science and Technology
67,SUST_Scrumping_Puppets,Shahjalal University of Science and Technology
68,Three Caballeros,Chittagong University of Engineering & Technology
69,MBSTU_Novatos,Mawlana Bhashani Science &amp;amp;amp;amp;amp; Technology University
70,Data Strugglers,Punjab University College of Information Technology
71,Slaves,NU-FAST Karachi
72,AC47,Ghulam Ishaq Khan Institute of Engineering Sciences and Technology
73,takeabyte,"Jadavpur University, Kolkata"
74,Goblin Barrel,"National Institute of Technology, Calicut"
75,Algo Hackers,Kabul Polytechnic University
76,Constructor,Kabul University
77,Dreams Hack,Kateb University
