1,FacelessMen3.1,Indian Institute of Technology - Kanpur
2,OnTheSpot,Indian Institute of Technology (Banaras Hindu University)  Varanasi
3,SkillIssue,Indian Institute of Technology - Delhi
4,DunderMifflin,Indian Institute of Technology - Kharagpur
5,lazy three,International Institute of Information Technology - Hyderabad
6,XORcists,Indian Institute of Technology (Banaras Hindu University)  Varanasi
7,Leaf Papad,Indian Institute of Technology - Bombay
8,Yorozuya Forever,Indian Institute of Technology - Madras
9,PerfecTerror,Indian Institute of Technology (Banaras Hindu University)  Varanasi
10,Flashpoint,Indian Institute of Technology - Kharagpur
11,Malana Team,Indian Institute of Technology - Patna
12,lite lo,Birla Institute of Technology & Science  Pilani Campus Rajasthan
13,bitmASKers,Indian Institute of Technology - Roorkee
14,TBD,International Institute of Information Technology - Hyderabad
15,segment_trACk,Indian Institute of Technology - Kanpur
16,Wannabe Red,Indian Institute of Technology - Madras
17,cns_lena_chahiye_tha,Indian Institute of Technology - Guwahati
18,codeCruXaders,BITS-Pilani  Hyderabad Campus
19,Kuvara,Indian Institute of Technology - Delhi
20,Fenwick Three,Indian Institute of Technology (ISM)  Dhanbad
21,Baldev Ford,Indian Institute of Technology (ISM)  Dhanbad
22,fightFight,International Institute of Information Technology - Hyderabad
23,No_Intution,Indian Institute of Information Technology - Allahabad
24,error404found,National Institute of Technology Karnataka  Surathkul
25,SalmonBhoiFanClub,Manipal Institute of Technology  Manipal
26,Debugging Susanoo,Indian Institute of Technology - Guwahati
27,Joint_Family,Indian Institute of Technology (ISM)  Dhanbad
28,Buriburizaemon,Indian Institute of Technology - Roorkee
29,Lazy Coders,Walchand College of Engineering  Sangli
30,The Owls,Indian Institute of Technology - Roorkee
31,last_moment_coders,BITS-Pilani  Hyderabad Campus
32,Eulerian Wizards,Indian Institute of Technology - Kharagpur
33,Meowbadi,Jadavpur University Kolkata  West Bengal
34,Haystack Needlers,Army Institute of Technology Pune  Maharashtra
35,Ek Akhri Baar,Indian Institute of Technology - Ropar
36,ohio_trio,Delhi Technological University
37,Tier69420,Institute of Engineering &Technology  Lucknow
38,MEX Offenders,Indian Institute of Technology - Patna
39,XoRiers,Pandit Deendayal Petroleum University
40,Underdogs,Indian Institute of Technology - Indore
41,Anti-Adhoc,International Institute of Information Technology - Bangalore
42,AKR Bit Busters,Indian Institute of Information Technology Tiruchirappalli
43,takeabyte,Jadavpur University Kolkata  West Bengal
44,Midwave,Delhi Technological University
45,ethOS,Indian Institute of Technology - Hyderabad
46,read_it_carefully,Graphic Era University Dehradun
47,Katai Jahar,Indian Institute of Technology - Patna
48,MLEDoesn tExist,Delhi Skill and Entrepreneurship University Okhla-1
49,descendents of Tourist,National Institute of Technology Rourkela
50,Kuch bhi de de,Indian Institute of Technology - Kanpur
51,SmurfCoders,Pune Institute of Computer Technology
52,D5R24,Walchand College of Engineering  Sangli
53,1+2=4,Dr B R Ambedkar National Institute of Technology Jalandhar  Punjab
54,bhoopendar_jogi,Indian Institute of Technology - Delhi
55,kabhikabhicpp,Indian Institute of Technology - Bombay
56,Grindcrow,Indian Institute of Information Technology  Surat
57,Comfortably Dumb,National Institute of Technology Karnataka  Surathkul
58,YBH,Chennai Mathematical Institute
59,DOLO 650,Indian Institute of Information Technology Design and Manufacturing  Kurnool
60,Three_Blues,Indian Institute of Technology - Ropar
61,dp_lagega_kya?,Indian Institute of Information Technology  Lucknow
62,Silent 3lers,Dhirubhai Ambani Institute of Information and Communication Technology  Gandhinagar
63,Goblin Barrel,National Institute of Technology Calicut
64,Elites,Motilal Nehru National Institute of Technology - Allahabad
65,Kozhicoders,National Institute of Technology Calicut
66,Logic Crushers,PDPM Indian Institute of Information Technology Design & Manufacturing  Jabalpur
67,Team Name,Indian Institute of Information Technology - Allahabad
68,3 Dukes,New Horizon College of Engineering Bengaluru  Karnataka
