1,cant_trie_hard,BITS-Pilani Hyderabad Campus
2,3equals1000,Dhirubhai Ambani Institute of Information and Communication Technology Gandhinagar
3,Infernus,Indian Institute of Information Technology and Management Gwalior
4,BowBow,Indian Institute of Information Technology Lucknow
5,bhoopendar_jogi,Indian Institute of Technology - Delhi
6,ethOS,Indian Institute of Technology - Hyderabad
7,Malana Team ,Indian Institute of Technology - Patna
8,Buriburizaemon,Indian Institute of Technology - Roorkee
9,LastDance,Lovely Professional University
10,Binary Brains,Maharaja Agrasen Institute of Technology
11,Kozhicoders,National Institute of Technology Calicut
12,AlooKheeraTamatar,National Institute of Technology Raipur
13,descendents of Tourists,National Institute of Technology Rourkela
14,thelastdance,Netaji Subhas University Of Technology
15,AMA,Punjab Engineering College Chandigarh
16,Haystack Needlers,Army Institute of Technology
17,lite lo,Birla Institute of Technology and Science Pilani Campus
18,Grindcrow,Indian Institute of Information Technology Surat
19,Codemons,Indian Institute of Technology - Madras
20,XORcists,Indian Institute of Technology - Varanasi
21,Fenwick Three,Indian Institute of Technology (ISM) Dhanbad
22,CODer_daddies,Indian Institute of Technology Jammu
23,Kasoli_Tigers,Institute of Engineering and Technology -DAVV -Indore
24,3_Pointer,Jaypee University of Engineering and Technology Guna
25,coding flamingoes,JSS Academy Of Technical Education
26,TRAP_8086,Kamla Nehru Institute of Technology
27,Code_smashers 2.0,KIET GROUP OF INSTITUTIONS
28,Deadlock,National Institute of Technology Hamirpur
29,skill issue on test 2,University Institute of Engineering & Technology CSJMU Kanpur
30,Bhupender Jogi,YMCA University of Science and Technology Faridabad
31,MLEDoesntExist,Delhi Skill and Entrepreneurship University Okhla-1
32,1+2=4,Dr B R Ambedkar National Institute of Technology
33,read_it_carefully,Graphic Era University
34,Cats on Trees,IIIT-Delhi
35,weird-fishes,Indian Institute of Information Technology Allahabad 
36,Leaf papad,Indian Institute of Technology - Bombay
37,is it rated?,Indian Institute of Technology - Delhi
38,cns_lena_chahiye_tha,Indian Institute of Technology - Guwahati
39,Ctrl-Shift-Defeat,Indian Institute of Technology - Kanpur
40,Learnites,Indian Institute of Technology - Mandi
41,OverShadow,Indian Institute of Technology - Varanasi
42,tatakaeTatakae,International Institute of Information Technology - Hyderabad
43,Angry Nerds,International Institute of Information Technology - Naya Raipur
44,takeabyte,Jadavpur University Kolkata
45,System Testing,Jaipur Engineering College & Research Centre
46,CodeBreakers,M.S. Ramaiah Institute of Technology
47,bruteforceaphlas,Maulana Azad National Institute of Technology Bhopal
48,GOATs,Motilal Nehru National Institute of Technology - Allahabad
49,RECmates,National Institute of Technology Durgapur
50,Logic Crushers,PDPM Indian Institute of Information Technology Design & Manufacturing Jabalpur
51,Terrific Trio,Shambhunath Institute of Engineering and Technology
52,Maximum Span*ing 3,Techno Main Salt Lake (formerly known as Techno India Salt Lake)
53,ICPC Lessgoo,Thapar Institute of Engineering & Technology
54,Team Fluke,Vellore Institute of Technology Chennai
55,YBH,Chennai Mathematical Institute
56,coderizz,Delhi Technological University(Formerly DCE)
57,Three Musketeers,IIT Bhubaneswar
58,Lemgends,Indian Institute of Information Technology Bhopal
59,Greymatter,Indian Institute of Information Technology Nagpur
60,Hanuman,Indian Institute of Information Technology Sonepat
61,Team Codestorm,Indian Institute of Information TechnologyUna
62,BitByBit,Indian Institute of Technology - Bombay
63,SkillIssue,Indian Institute of Technology - Delhi
64,maniACs,Indian Institute of Technology - Gandhinagar
65,Bit Mystics,Indian Institute of Technology - Indore
66,Tier69420,Institute of Engineering & Technology Lucknow
67,oye_papaji,International Institute of Information Technology - Bangalore
68,TBD,International Institute of Information Technology - Hyderabad
69,Team DEAD,National Institute of Technology Jamshedpur
70,Big-O Bandits,National Institute of Technology Kurukshetra
71,in it to win it,National Institute of Technology Srinagar
72,Sammaan,National institute of Technology Uttarakhand
73,LazyBusters,Nirma University
74,Binary Beasts,Pimpri Chinchwad College Of Engineering and Research Pune
75,VON,BITS-Pilani Goa Campus
76,Baigan,Chandigarh University
77,DOLO 650,Indian Institute of Information Technology Design and Manufacturing Kurnool
78,Be negative,Indian Institute of Information Technology Pune
79,rvalueref,Indian Institute of Information Technology Sri City Chittoor
80,FacelessMen3.1,Indian Institute of Technology - Kanpur
81,Rest_in_code,Indian Institute of Technology - Kharagpur
82, anjaane,Indian Institute of Technology - Patna
83,Ek Akhri Baar,Indian Institute of Technology - Ropar
84,PerfecTerror,Indian Institute of Technology - Varanasi
85,The Three Musketeers,Indian Institute of Technology Bhilai
86,Optimus Prime,Indian Institute of Technology Goa 
87,seg_fault,Indian Institute of Technology Tirupati
88,BHuJiya,Institute of Engineering & Management Kolkata
89,The-A-Team,Jaypee Institute of Information Technology
90,Namaste_Aunty,Lakshmi Narain College of Technology
91,Code Busters,Madan Mohan Malaviya University of Technology
92,Tempest_Squad,National Institute of Technology Patna
93,NVR,National Institute of Technology Silchar
94,XoRiers,Pandit Deendayal Petroleum University
95,1 Code 3 Hangovers,Pimpri Chinchwad College of Engineering
96,SmurfCoders,Pune Institute of Computer Technology
97,Epic_Failures,The LNM Institute of Information Technology 
98,EDITH,Vishwakarma Government Engineering College
99,Unprofessional Coders,VNR Vignana Jyothi Institute of Engineering & Technology
